sensorspeed,units,gravity,Accuracy
1.247,4.929,7.297,5
1.058,4.996,7.295,5
0.9,5.03,7.295,5
0.706,5.032,7.412,5
0.565,5.073,7.556,5
0.44,5.049,7.735,6
0.371,5.047,7.91,5
0.433,5.04,8.09,5
0.496,4.97,8.305,5
0.639,4.855,8.487,5
0.859,4.683,8.624,5
1.037,4.515,8.691,5
1.264,4.331,8.684,5
1.453,4.13,8.684,5
1.628,3.962,8.717,5
1.753,3.859,8.705,5
1.858,3.833,8.724,5
1.901,3.883,8.72,5
1.887,3.938,8.65,5
1.889,4.044,8.593,5
1.779,4.19,8.533,5
1.669,4.355,8.478,5
1.508,4.491,8.327,5
1.336,4.558,8.226,5
1.171,4.635,8.269,5
1.056,4.74,8.365,5
0.905,4.805,8.461,5
0.745,4.81,8.585,5
0.642,4.755,8.818,5
0.649,4.702,9.004,5
0.685,4.64,9.107,6
0.766,4.525,9.203,5
0.886,4.415,9.258,5
1.022,4.278,9.275,5
1.154,4.17,9.349,5
1.24,4.039,9.459,5
1.302,3.948,9.586,5
1.355,3.871,9.766,5
1.401,3.804,9.926,5
1.463,3.783,10.07,5
1.475,3.737,10.115,5
1.434,3.771,10.175,5
1.463,3.83,10.218,5
1.551,4.034,10.209,5
1.719,4.314,10.079,5
1.911,4.671,9.816,5
2.102,4.98,9.423,5
2.315,5.109,9.086,5
2.303,5.016,8.794,5
2.215,4.862,8.564,5
2.102,4.609,8.607,5
1.987,4.328,8.779,5
1.891,4.123,8.849,5
1.796,4,8.93,5
1.611,3.957,8.961,6
1.41,4.005,9.048,5
1.14,4.005,9.268,5
0.9,3.953,9.701,5
0.61,3.835,10.199,5
0.534,3.787,10.755,5
0.876,3.711,11.296,5
0.742,3.467,11.746,5
0.163,3.151,12.155,5
-0.203,2.897,12.476,5
-0.411,2.724,12.802,5
-0.509,2.576,12.979,5
-0.337,2.538,13.015,5
-0.136,2.617,12.84,5
0.134,2.799,12.524,5
0.421,3.002,12.04,5
0.689,3.127,11.456,5
0.848,3.232,10.86,5
1.02,3.263,10.204,5
1.173,3.277,9.466,5
1.262,3.361,8.712,5
1.408,3.491,8.116,5
1.537,3.627,7.678,5
1.583,3.842,7.249,5
1.63,4.003,6.914,5
1.626,4.182,6.603,6
1.585,4.281,6.404,5
1.489,4.35,6.316,5
1.367,4.317,6.457,5
1.214,4.211,6.699,5
1.099,4.142,6.902,5
1.065,4.106,7.271,5
1.056,4.075,7.671,5
1.061,4.012,7.968,5
1.12,3.981,8.432,5
1.137,3.974,8.885,5
1.226,3.986,9.189,5
1.3,3.929,9.49,5
1.338,3.847,9.876,5
1.331,3.699,10.103,5
1.223,3.514,10.247,5
1.111,3.347,10.336,5
1.039,3.218,10.35,5
0.965,3.129,10.321,5
0.891,3.129,10.216,5
0.836,3.153,10.051,5
0.757,3.16,9.833,5
0.689,3.198,9.625,5
0.584,3.227,9.416,5
0.529,3.184,9.294,6
0.548,3.117,9.313,5
0.575,3.091,9.366,5
0.565,3.038,9.601,5
0.539,3.038,9.912,5
0.531,3.036,10.096,5
0.508,3.019,10.175,5
0.455,3.062,10.228,5
0.436,3.127,10.123,5
0.464,3.242,9.833,5
0.407,3.402,9.38,5
0.371,3.61,8.748,5
0.361,3.778,8.063,5
0.39,3.938,7.522,5
0.431,4.063,7.07,5
0.541,4.12,6.625,5
0.579,4.226,6.268,5
0.589,4.273,5.949,5
0.627,4.376,5.712,5
0.673,4.534,5.562,5
0.812,4.597,5.53,5
0.95,4.642,5.629,5
1.058,4.704,5.765,5
1.044,4.69,5.971,5
0.984,4.716,6.273,5
0.922,4.738,6.589,6
0.994,4.762,6.936,5
1.058,4.714,7.319,5
1.118,4.68,7.642,5
1.152,4.597,7.853,5
1.137,4.51,8.071,5
1.077,4.549,8.293,5
0.936,4.606,8.494,5
0.802,4.604,8.837,5
0.723,4.604,9.112,5
0.627,4.609,9.222,5
0.524,4.647,9.304,5
0.393,4.697,9.395,5
0.328,4.774,9.342,5
0.359,4.846,9.253,5
0.445,4.886,9.122,5
0.534,4.953,9.014,5
0.618,4.963,8.854,5
0.757,4.951,8.66,5
0.867,4.925,8.427,5
0.989,4.951,8.25,5
1.053,4.963,8.126,5
1.061,5.025,8.008,5
1.049,5.013,7.882,5
1.027,5.004,7.8,5
0.9,4.956,7.728,6
0.709,4.86,7.8,5
0.481,4.74,7.822,5
0.18,4.719,7.877,5
-0.085,4.798,8.011,5
-0.334,4.915,8.123,5
-0.586,4.963,8.143,5
-1.019,4.922,8.308,5
-1.943,4.755,8.83,5
-1.632,4.826,9.423,5
-0.097,5.162,9.512,5
1.199,5.559,9.215,5
1.594,5.928,8.983,5
1.697,6.093,8.966,5
2.138,6.141,8.775,5
2.727,5.995,8.581,5
3.045,5.691,8.32,5
2.94,5.255,8.09,5
2.653,4.841,7.992,5
2.37,4.51,8.018,5
2.16,4.369,8.013,5
1.915,4.343,7.982,5
1.597,4.386,7.975,5
1.18,4.451,8.14,5
0.721,4.534,8.494,6
0.22,4.513,8.918,5
-0.255,4.355,9.431,5
-0.708,4.147,9.962,5
-1.158,3.914,10.283,5
-1.591,3.696,10.436,5
-1.936,3.517,10.609,5
-2.07,3.265,10.898,5
-1.941,3.014,11.15,5
-1.713,2.839,11.336,5
-1.448,2.789,11.588,5
-1.146,2.82,11.64,5
-0.696,2.856,11.487,5
-0.167,2.966,11.121,5
0.225,3.11,10.678,5
0.522,3.165,10.271,5
0.63,3.117,9.885,5
0.639,3.107,9.488,5
0.61,3.091,9.083,5
0.543,3.119,8.772,5
0.445,3.225,8.588,5
0.364,3.409,8.43,5
0.347,3.586,8.324,5
0.302,3.778,8.241,5
0.304,3.917,8.154,5
0.29,4.022,8.164,6
0.225,4.056,8.231,5
0.189,4.022,8.449,5
0.122,3.957,8.664,5
0.067,3.895,8.928,5
0.022,3.804,9.148,5
0.019,3.747,9.332,5
-0.001,3.67,9.459,5
-0.023,3.627,9.562,5
-0.045,3.565,9.641,5
-0.033,3.519,9.708,5
-0.004,3.505,9.699,5
0.022,3.479,9.608,5
0.031,3.452,9.498,5
0.048,3.459,9.385,5
0.096,3.447,9.261,5
0.153,3.476,9.15,5
0.256,3.548,8.995,5
0.292,3.62,8.861,5
0.306,3.661,8.684,5
0.35,3.725,8.526,5
0.419,3.732,8.344,5
0.575,3.732,8.135,5
0.711,3.711,7.999,5
0.867,3.718,7.898,6
1.001,3.761,7.829,5
1.125,3.807,7.757,5
1.243,3.862,7.621,5
1.386,3.902,7.518,5
1.47,3.967,7.417,5
1.532,4.017,7.405,5
1.504,4.103,7.393,5
1.501,4.137,7.381,5
1.504,4.142,7.343,5
1.458,4.18,7.29,5
1.417,4.3,7.163,5
1.274,4.398,7.154,5
1.192,4.494,7.238,5
1.123,4.561,7.283,5
1.034,4.599,7.362,5
0.982,4.688,7.441,5
0.845,4.688,7.51,5
0.723,4.702,7.594,5
0.675,4.637,7.726,5
0.723,4.654,7.781,5
0.752,4.597,7.877,5
0.768,4.544,7.934,5
0.737,4.522,8.023,5
0.649,4.496,8.135,5
0.56,4.494,8.2,6
0.548,4.419,8.272,5
0.522,4.355,8.334,5
0.527,4.331,8.396,5
0.51,4.269,8.435,5
0.551,4.204,8.511,5
0.615,4.211,8.542,5
0.666,4.168,8.633,5
0.778,4.168,8.669,5
0.862,4.147,8.691,5
0.927,4.12,8.655,5
0.972,4.096,8.638,5
0.97,4.065,8.6,5
0.95,4.082,8.636,5
0.984,4.06,8.607,5
1.056,4.048,8.552,5
1.097,4.029,8.504,5
1.108,4.075,8.346,5
1.185,4.144,8.229,5
1.278,4.192,8.147,5
1.276,4.247,8.011,5
1.252,4.221,7.922,5
1.223,4.271,7.92,5
1.19,4.295,7.846,5
1.123,4.36,7.774,5
0.972,4.467,7.829,6
0.773,4.501,8.028,5
0.594,4.549,8.241,5
0.438,4.568,8.518,5
0.35,4.575,8.72,5
0.297,4.585,8.913,5
0.218,4.554,9.062,5
0.151,4.439,9.206,5
0.127,4.357,9.376,5
0.187,4.259,9.598,5
0.275,4.135,9.783,5
0.385,3.993,9.993,5
0.529,3.957,10.249,5
0.764,3.881,10.462,5
0.996,3.917,10.587,5
1.336,4.096,10.534,5
1.671,4.34,10.288,5
1.889,4.585,9.816,5
1.966,4.635,9.297,5
1.832,4.422,8.928,5
1.64,4.199,8.782,5
1.487,3.989,8.753,5
1.355,3.883,8.866,5
1.185,3.95,9.033,5
1.089,4.08,9.208,6
1.029,4.159,9.445,5
1.013,4.137,9.658,5
1.039,4.036,9.926,5
1.097,3.921,10.19,5
1.178,3.72,10.419,5
1.281,3.531,10.69,5
1.434,3.297,11.032,5
1.47,3.206,10.996,5
1.489,3.225,10.994,5
1.513,3.189,10.982,5
1.446,3.062,10.874,5
1.331,2.935,10.932,5
1.216,2.863,11.059,5
1.156,2.806,11.169,5
1.13,2.741,11.202,5
1.128,2.753,11.152,5
1.13,2.825,11.061,5
1.164,2.873,10.738,5
1.281,2.945,10.393,5
1.405,3.064,10.101,5
1.504,3.292,9.711,5
1.561,3.402,9.378,5
1.616,3.481,9.059,5
1.733,3.579,8.945,5
1.891,3.677,8.76,6
2.033,3.725,8.523,5
2.191,3.802,8.198,5
2.291,3.902,7.937,5
2.327,3.996,7.752,5
2.26,4.08,7.566,5
2.143,4.125,7.498,5
2.052,4.223,7.46,5
1.951,4.3,7.616,5
1.899,4.312,7.783,5
1.808,4.269,7.872,5
1.685,4.235,7.999,5
1.618,4.156,8.097,5
1.563,4.008,8.164,5
1.535,3.895,8.279,5
1.46,3.799,8.514,5
1.374,3.728,8.763,5
1.381,3.637,9.067,5
1.307,3.584,9.471,5
1.312,3.452,10.02,5
1.262,3.361,10.496,5
1.178,3.23,10.968,5
1.101,3.134,11.389,5
1.089,3.055,11.676,5
1.077,3.007,11.717,6
1.068,2.961,11.662,5
1.12,2.942,11.549,5
1.173,2.909,11.298,5
1.228,2.949,10.884,5
1.264,2.928,10.565,5
1.269,2.93,10.221,5
1.348,2.93,9.859,5
1.365,2.983,9.469,5
1.357,3.007,9.107,5
1.345,3.069,8.825,5
1.41,3.11,8.588,5
1.456,3.198,8.387,5
1.508,3.289,8.193,5
1.568,3.39,7.937,5
1.594,3.455,7.743,5
1.657,3.522,7.611,5
1.714,3.558,7.417,5
1.688,3.593,7.238,5
1.662,3.675,7.024,5
1.652,3.684,6.89,5
1.609,3.696,6.835,5
1.561,3.728,6.742,5
1.527,3.828,6.694,5
1.484,3.864,6.665,5
1.413,3.881,6.711,6
1.341,3.878,6.775,5
1.278,3.874,6.926,5
1.187,3.871,7.12,5
1.116,3.905,7.297,5
1.041,3.926,7.58,5
0.974,3.967,7.824,5
0.922,3.986,8.013,5
0.864,4.003,8.154,5
0.745,4.056,8.265,5
0.637,4.13,8.387,5
0.615,4.199,8.54,5
0.493,4.199,8.705,5
0.443,4.228,8.885,5
0.438,4.261,8.904,5
0.366,4.324,8.849,5
0.364,4.396,8.708,5
0.409,4.498,8.523,5
0.505,4.609,8.399,5
0.488,4.685,8.269,5
0.522,4.743,8.188,5
0.524,4.774,8.128,5
0.565,4.826,8.128,5
0.515,4.841,8.207,5
0.529,4.858,8.296,6
0.551,4.858,8.435,5
0.587,4.85,8.583,5
0.582,4.822,8.775,5
0.46,4.779,8.992,5
0.342,4.752,9.208,5
0.201,4.733,9.459,5
0.108,4.709,9.636,5
0.103,4.671,9.811,5
0.074,4.515,10.02,5
0.115,4.386,10.199,5
0.244,4.352,10.331,5
0.421,4.475,10.458,5
0.615,4.68,10.575,5
0.792,5.018,10.515,5
0.941,5.322,10.247,5
1.037,5.585,9.871,5
1.056,5.643,9.572,5
0.998,5.494,9.34,5
0.749,5.32,9.225,5
0.426,5.095,9.198,5
0.112,5.001,9.256,5
-0.14,5.025,9.359,5
-0.334,5.145,9.555,5
-0.44,5.248,9.854,6
-0.471,5.327,10.137,5
-0.504,5.281,10.312,5
-0.387,5.214,10.494,5
-0.301,5.138,10.704,5
-0.286,4.956,10.977,5
-0.332,4.776,10.941,5
-0.389,4.606,10.963,5
-0.459,4.386,10.949,5
-0.555,4.204,10.824,5
-0.6,4.02,10.666,5
-0.681,3.926,10.621,5
-0.715,3.83,10.52,5
-0.734,3.773,10.372,5
-0.717,3.747,10.276,5
-0.634,3.723,10.228,5
-0.502,3.632,10.163,5
-0.327,3.605,9.862,5
-0.152,3.658,9.591,5
0.036,3.699,9.313,5
0.292,3.692,8.899,5
0.508,3.677,8.437,5
0.682,3.653,8.085,5
0.831,3.67,7.735,5
0.874,3.73,7.396,5
0.905,3.761,7.12,6
0.922,3.835,6.967,5
0.95,3.943,6.802,5
0.905,4.051,6.641,5
0.891,4.115,6.601,5
0.838,4.185,6.562,5
0.768,4.259,6.615,5
0.67,4.293,6.816,5
0.541,4.297,6.981,5
0.34,4.245,7.151,5
0.117,4.209,7.355,5
-0.092,4.23,7.486,5
-0.262,4.187,7.554,5
-0.382,4.221,7.568,5
-0.468,4.216,7.515,5
-0.533,4.125,7.496,5
-0.619,4.063,7.525,5
-0.669,4.024,7.561,5
-0.744,3.943,7.642,5
-0.765,3.85,7.733,5
-0.724,3.804,7.791,5
-0.612,3.756,7.901,5
-0.483,3.661,7.977,5
-0.262,3.519,7.992,5
-0.09,3.397,8.049,5
0.069,3.313,8.116,6
0.254,3.313,8.114,5
0.345,3.397,8.159,5
0.426,3.445,8.284,5
0.51,3.55,8.245,5
0.694,3.67,8.353,5
0.843,3.78,8.432,5
0.891,3.89,8.32,5
0.917,3.905,8.289,5
0.946,3.926,8.243,5
0.924,3.977,8.061,5
0.883,4.06,7.882,5
0.917,4.175,7.625,5
0.986,4.326,7.403,5
1.08,4.467,7.223,5
1.125,4.664,6.981,5
1.135,4.846,6.737,5
1.144,5.028,6.663,5
1.197,5.174,6.637,5
1.24,5.298,6.505,5
1.195,5.411,6.507,5
1.137,5.504,6.581,5
1.108,5.573,6.68,5
1.037,5.602,6.768,5
0.924,5.662,6.847,6
0.776,5.731,6.874,5
0.632,5.777,6.864,5
0.5,5.811,6.955,5
0.393,5.789,7.053,5
0.314,5.779,7.178,5
0.189,5.743,7.297,5
0.187,5.676,7.486,5
0.27,5.652,7.731,5
0.304,5.672,7.987,5
0.318,5.609,8.25,5
0.361,5.588,8.497,5
0.381,5.502,8.801,5
0.345,5.399,9.028,5
0.414,5.257,9.215,5
0.476,5.14,9.447,5
0.539,5.083,9.598,5
0.572,5.035,9.692,5
0.704,4.951,9.727,5
0.747,4.922,9.723,5
0.816,4.917,9.615,5
0.888,4.896,9.488,5
0.927,4.905,9.33,5
0.998,4.884,9.189,5
1.027,4.905,9.019,5
1.034,4.903,8.796,6
1.022,4.877,8.686,5
0.991,4.86,8.576,5
0.948,4.896,8.478,5
0.941,4.965,8.514,5
0.821,4.982,8.557,5
0.742,5.006,8.595,5
0.692,5.042,8.712,5
0.587,5.052,8.849,5
0.606,4.937,8.976,5
0.536,4.941,8.959,5
0.531,5.085,8.966,5
0.608,5.178,9.093,5
0.764,5.262,9.213,5
0.943,5.408,9.265,5
1.116,5.55,9.206,5
1.211,5.688,8.985,5
1.264,5.727,8.825,5
1.31,5.681,8.818,5
1.326,5.712,8.741,5
1.226,5.72,8.581,5
1.049,5.648,8.475,5
0.953,5.609,8.629,5
0.838,5.585,8.806,5
0.761,5.583,9.067,6
0.706,5.621,9.21,5
0.608,5.588,9.385,5
0.625,5.533,9.751,5
0.553,5.339,9.95,5
0.467,5.116,10.017,5
0.414,4.841,10.213,5
0.328,4.532,10.336,5
0.189,4.302,10.479,5
0.014,4.103,10.611,5
-0.078,3.914,10.786,5
-0.124,3.79,10.977,5
-0.159,3.629,11.152,5
-0.136,3.491,11.262,5
-0.042,3.242,11.32,5
0.069,3.064,11.396,5
0.261,2.89,11.322,5
0.543,2.765,11.169,5
0.821,2.684,10.884,5
1.125,2.679,10.546,5
1.374,2.679,10.111,5
1.64,2.791,9.636,5
1.846,2.892,9.059,5
2.061,3.002,8.473,5
2.205,3.163,7.87,6
2.341,3.361,7.228,5
2.42,3.493,6.797,5
2.507,3.663,6.562,5
2.622,3.785,6.368,5
2.701,3.931,6.275,5
2.801,4.044,6.323,5
2.787,4.139,6.617,5
2.653,4.209,6.967,5
2.401,4.288,7.281,5
2.078,4.374,7.513,5
1.729,4.513,7.738,5
1.515,4.573,7.944,5
1.314,4.52,7.973,5
1.061,4.484,7.958,5
0.689,4.463,7.982,5
0.206,4.496,7.999,5
-0.325,4.58,8.159,5
-0.873,4.664,8.506,5
-1.369,4.676,8.875,5
-1.799,4.697,9.258,5
-2.092,4.7,9.694,5
-2.211,4.659,10.111,5
