sensorspeed,units,gravity,Accuracy
-0.15,4.168,5.648,5
-0.298,4.211,5.887,5
-0.365,4.257,6.215,5
-0.385,4.278,6.61,5
-0.394,4.199,7.087,5
-0.353,4.041,7.515,5
-0.279,3.842,7.841,5
-0.241,3.653,8.138,5
-0.205,3.51,8.413,5
-0.15,3.347,8.667,5
-0.04,3.225,8.988,5
0.069,3.086,9.304,5
0.163,3.031,9.565,6
0.242,2.973,9.821,5
0.292,2.93,10.029,5
0.366,2.902,10.146,5
0.354,2.937,10.242,5
0.27,2.954,10.374,5
0.227,2.983,10.472,5
0.211,3.069,10.551,5
0.199,3.141,10.501,5
0.237,3.182,10.525,5
0.282,3.208,10.489,5
0.342,3.196,10.46,5
0.376,3.218,10.369,5
0.393,3.222,10.233,5
0.361,3.285,10.182,5
0.385,3.328,10.23,5
0.397,3.378,10.431,5
0.397,3.364,10.527,5
0.429,3.378,10.565,5
0.481,3.435,10.565,5
0.443,3.414,10.621,5
0.455,3.404,10.628,5
0.457,3.419,10.613,5
0.424,3.488,10.616,5
0.45,3.517,10.558,6
0.46,3.524,10.582,5
0.431,3.565,10.656,5
0.448,3.603,10.697,5
0.479,3.632,10.707,5
0.517,3.675,10.656,5
0.613,3.799,10.613,5
0.757,3.991,10.575,5
1.017,4.376,10.415,5
1.14,4.786,10.053,5
1.202,5.064,9.495,5
1.255,5.164,8.959,5
1.302,5.066,8.679,5
1.312,4.87,8.557,5
1.233,4.609,8.504,5
1.061,4.503,8.289,5
0.962,4.628,8.269,5
0.977,4.704,8.518,5
0.934,4.671,8.676,5
0.733,4.57,8.844,5
0.486,4.379,9.021,5
0.184,4.206,9.349,5
-0.028,3.974,9.821,5
-0.15,3.754,10.173,5
-0.291,3.586,10.568,5
-0.545,3.435,11.001,6
-0.823,3.167,11.415,5
-1.055,2.995,11.614,5
-1.28,2.858,11.652,5
-1.529,2.751,11.71,5
-1.673,2.736,11.813,5
-1.682,2.741,11.82,5
-1.598,2.813,11.82,5
-1.404,2.897,11.715,5
-1.17,2.985,11.411,5
-0.926,3.103,10.891,5
-0.657,3.153,10.285,5
-0.303,3.174,9.548,5
0.019,3.134,8.901,5
0.235,3.074,8.272,5
0.431,3.062,7.826,5
0.608,3.05,7.41,5
0.697,3.11,6.977,5
0.824,3.215,6.634,5
0.934,3.366,6.364,5
1.034,3.471,6.356,5
1.118,3.56,6.45,5
1.085,3.632,6.512,5
1.037,3.651,6.627,5
0.989,3.682,6.67,5
0.922,3.668,6.866,5
0.929,3.615,7.106,6
1.087,3.51,7.388,5
1.204,3.383,7.81,5
1.266,3.261,8.154,5
1.353,3.167,8.475,5
1.365,3.091,8.77,5
1.322,3.064,9.05,5
1.231,3.014,9.388,5
1.159,2.937,9.658,5
1.061,2.856,9.797,5
0.838,2.827,9.85,5
0.572,2.835,9.85,5
0.256,2.837,9.739,5
-0.009,2.892,9.663,5
-0.294,2.935,9.586,5
-0.502,3.005,9.636,5
-0.665,3.124,9.732,5
-0.765,3.179,9.838,5
-0.77,3.213,9.976,5
-0.689,3.203,10.091,5
-0.622,3.251,10.07,5
-0.461,3.337,9.998,5
-0.238,3.256,10.039,5
-0.097,3.084,10.012,5
-0.033,3.064,9.902,6
0.045,3.038,9.883,5
0.101,3.139,9.694,5
0.165,3.186,9.471,5
0.22,3.294,9.285,5
0.275,3.452,9.059,5
0.357,3.61,8.827,5
0.393,3.749,8.643,5
0.479,3.826,8.461,5
0.469,3.895,8.238,5
0.388,3.957,8.035,5
0.345,4.024,7.865,5
0.227,4.159,7.735,5
0.22,4.182,7.702,5
0.208,4.18,7.577,5
0.117,4.228,7.513,5
0.084,4.278,7.491,5
0.079,4.345,7.46,5
0.065,4.391,7.434,5
0.055,4.4,7.424,5
-0.004,4.439,7.384,5
-0.107,4.475,7.369,5
-0.071,4.424,7.513,5
-0.097,4.36,7.618,5
-0.2,4.384,7.925,6
-0.253,4.357,8.171,5
-0.274,4.328,8.456,5
-0.236,4.257,8.842,5
-0.217,4.223,9.179,5
-0.229,4.173,9.433,5
-0.231,4.156,9.62,5
-0.195,4.175,9.632,5
-0.121,4.199,9.541,5
-0.045,4.106,9.471,5
0.014,4.077,9.395,5
0.089,3.996,9.328,5
0.053,3.972,9.335,5
0.029,4.01,9.241,5
0.053,4.041,9.186,5
0.093,4.089,9.17,5
0.096,4.123,9.21,5
0.077,4.161,9.198,5
0.074,4.178,9.215,5
0.036,4.216,9.241,5
-0.03,4.24,9.227,5
-0.054,4.247,9.232,5
0.01,4.235,9.194,5
0.014,4.24,9.134,5
0.002,4.249,9.17,6
-0.066,4.221,9.268,5
-0.138,4.247,9.361,5
-0.188,4.281,9.534,5
-0.15,4.348,9.732,5
-0.028,4.46,9.84,5
0.213,4.637,9.878,5
0.546,4.867,9.814,5
0.771,5.133,9.629,5
0.879,5.327,9.409,5
0.994,5.351,9.206,5
1.082,5.277,9.004,5
1.068,5.116,8.854,5
1.006,5.037,8.698,5
0.881,4.994,8.557,5
0.771,4.927,8.456,5
0.558,4.855,8.322,5
0.189,4.829,8.243,5
-0.181,4.743,8.313,5
-0.504,4.633,8.542,5
-0.811,4.527,8.739,5
-1.072,4.429,9.112,5
-1.404,4.223,9.917,5
-1.694,3.96,10.735,5
-1.859,3.725,11.49,5
-2.022,3.534,12.11,5
-2.104,3.395,12.577,6
-2.144,3.347,12.641,5
-1.967,3.253,12.804,5
-1.61,3.076,13.02,5
-1.323,2.937,12.818,5
-1.062,2.813,12.471,5
-0.765,2.755,12.103,5
-0.473,2.72,11.724,5
-0.222,2.741,11.3,5
0.01,2.753,10.767,5
0.28,2.808,10.242,5
0.426,2.882,9.771,5
0.472,2.959,9.253,5
0.405,3.095,8.743,5
0.302,3.313,8.25,5
0.117,3.483,7.846,5
-0.011,3.637,7.446,5
-0.183,3.754,7.182,5
-0.334,3.89,7.008,5
-0.459,4.032,6.95,5
-0.638,4.132,6.962,5
-0.722,4.276,7.027,5
-0.787,4.372,7.058,5
-0.962,4.453,7.012,5
-1.108,4.532,7.027,6
-1.242,4.606,7.01,5
-1.27,4.606,7.022,5
-1.306,4.621,7.032,5
-1.354,4.556,7.044,5
-1.433,4.455,7.168,5
-1.424,4.352,7.391,5
-1.426,4.206,7.609,5
-1.373,4.051,7.865,5
-1.23,3.898,8.152,5
-1.134,3.754,8.375,5
-1.002,3.692,8.535,5
-0.842,3.617,8.597,5
-0.677,3.579,8.763,5
-0.495,3.464,8.873,5
-0.26,3.368,8.93,5
-0.061,3.309,8.863,5
0.105,3.34,8.715,5
0.273,3.414,8.521,5
0.378,3.476,8.315,5
0.503,3.546,8.097,5
0.627,3.622,7.91,5
0.637,3.732,7.728,5
0.713,3.826,7.518,5
0.745,3.878,7.314,5
0.852,3.989,7.161,6
0.95,4.06,6.972,5
0.96,4.214,6.814,5
1.027,4.307,6.694,5
1.046,4.372,6.591,5
1.099,4.436,6.507,5
1.101,4.554,6.364,5
1.101,4.616,6.256,5
1.104,4.685,6.222,5
1.118,4.728,6.242,5
1.147,4.755,6.361,5
1.14,4.795,6.553,5
1.128,4.822,6.802,5
1.147,4.848,7.072,5
1.137,4.841,7.307,5
1.149,4.819,7.587,5
1.125,4.795,7.812,5
1.106,4.762,7.963,5
1.073,4.724,8.099,5
1.001,4.709,8.138,5
0.958,4.692,8.214,5
0.903,4.695,8.269,5
0.824,4.7,8.253,5
0.73,4.656,8.217,5
0.632,4.712,8.272,6
0.553,4.745,8.257,5
0.436,4.798,8.233,5
0.292,4.812,8.2,5
0.196,4.793,8.238,5
0.156,4.798,8.32,5
0.141,4.774,8.399,5
0.134,4.75,8.492,5
0.158,4.712,8.638,5
0.223,4.712,8.751,5
0.335,4.688,8.961,5
0.397,4.652,9.174,5
0.443,4.616,9.411,5
0.474,4.616,9.617,5
0.462,4.611,9.783,5
0.443,4.594,9.9,5
0.39,4.601,9.957,5
0.393,4.58,9.924,5
0.364,4.522,9.78,5
0.381,4.518,9.617,5
0.376,4.525,9.443,5
0.342,4.525,9.27,5
0.304,4.518,9.04,5
0.215,4.563,8.832,5
0.024,4.63,8.686,6
-0.152,4.726,8.509,5
-0.195,4.891,8.415,5
-0.047,5.107,8.494,5
0.122,5.396,8.413,5
0.16,5.782,8.344,5
0.115,6.004,8.224,5
0.012,6.129,8.14,5
-0.052,6.083,8.152,5
-0.198,5.954,8.19,5
-0.389,5.815,8.322,5
-0.557,5.684,8.516,5
-0.698,5.648,8.741,5
-0.801,5.6,8.978,5
-0.973,5.619,9.421,5
-1.127,5.585,9.84,5
-1.177,5.516,10.209,5
-1.191,5.348,10.606,5
-1.165,5.159,10.886,5
-1.158,4.975,11.006,5
-1.05,4.81,11.099,5
-0.906,4.613,11.018,5
-0.811,4.338,10.874,5
-0.713,4.077,10.762,5
-0.619,3.797,10.721,5
-0.502,3.541,10.735,6
-0.389,3.354,10.838,5
-0.262,3.244,10.927,5
-0.049,3.203,10.91,5
0.187,3.237,10.824,5
0.448,3.277,10.498,5
0.646,3.361,10.099,5
0.836,3.423,9.617,5
0.965,3.459,9.165,5
1.022,3.502,8.681,5
1.092,3.502,8.111,5
1.202,3.534,7.709,5
1.362,3.593,7.47,5
1.47,3.651,7.295,5
1.52,3.737,7.24,5
1.556,3.859,7.211,5
1.578,3.996,7.209,5
1.549,4.168,7.242,5
1.484,4.331,7.259,5
1.374,4.513,7.281,5
1.281,4.659,7.333,5
1.266,4.714,7.293,5
1.231,4.671,7.178,5
1.161,4.621,7.158,5
1.017,4.518,7.149,5
0.792,4.4,7.211,6
0.445,4.242,7.374,5
0.194,4.082,7.623,5
-0.021,3.998,8.011,5
-0.174,3.895,8.492,5
-0.267,3.821,9.012,5
-0.308,3.725,9.464,5
-0.301,3.663,9.823,5
-0.253,3.586,10.137,5
-0.15,3.493,10.278,5
-0.073,3.397,10.288,5
0.081,3.289,10.17,5
0.165,3.222,9.929,5
0.29,3.153,9.579,5
0.361,3.158,9.189,5
0.452,3.184,8.858,5
0.433,3.273,8.535,5
0.323,3.354,8.233,5
0.27,3.529,7.956,5
0.187,3.723,7.673,5
0.041,3.893,7.355,5
-0.064,4.103,7.01,5
-0.193,4.228,6.658,5
-0.327,4.362,6.38,5
-0.375,4.475,6.172,5
-0.519,4.539,6.05,6
-0.578,4.599,6.04,5
-0.492,4.611,6.033,5
-0.373,4.606,6.057,5
-0.296,4.616,6.119,5
-0.157,4.561,6.27,5
-0.025,4.546,6.464,5
0.101,4.477,6.725,5
0.225,4.393,7.017,5
0.378,4.319,7.391,5
0.548,4.214,7.769,5
0.682,4.094,8.171,5
0.792,3.957,8.518,5
0.828,3.874,8.822,5
0.871,3.785,9.064,5
0.862,3.716,9.304,5
0.778,3.689,9.45,5
0.646,3.704,9.514,5
0.472,3.747,9.502,5
0.237,3.854,9.478,5
-0.001,4.017,9.428,5
-0.207,4.163,9.426,5
-0.389,4.319,9.404,5
-0.555,4.415,9.352,5
-0.662,4.441,9.308,6
-0.713,4.479,9.285,5
-0.674,4.527,9.256,5
-0.61,4.515,9.263,5
-0.487,4.482,9.289,5
-0.368,4.434,9.285,5
-0.219,4.369,9.316,5
-0.104,4.367,9.323,5
-0.033,4.312,9.285,5
0.048,4.249,9.117,5
0.156,4.257,9.016,5
0.254,4.226,8.861,5
0.299,4.235,8.822,5
0.275,4.197,8.878,5
0.287,4.218,8.904,5
0.316,4.261,8.964,5
0.34,4.281,9.071,5
0.357,4.302,9.138,5
0.323,4.285,9.17,5
0.304,4.293,9.213,5
0.196,4.29,9.263,5
-0.009,4.288,9.308,5
-0.143,4.35,9.332,5
-0.253,4.391,9.378,5
-0.332,4.369,9.407,5
-0.329,4.343,9.498,6
-0.313,4.333,9.622,5
-0.246,4.386,9.809,5
-0.059,4.479,9.96,5
0.285,4.618,10.017,5
0.711,4.819,9.874,5
0.924,4.92,9.636,5
0.996,4.879,9.476,5
0.943,4.719,9.294,5
0.895,4.587,9.237,5
0.816,4.408,9.352,5
0.658,4.288,9.416,5
0.517,4.226,9.416,5
0.29,4.192,9.452,5
0.048,4.247,9.534,5
-0.188,4.223,9.79,5
-0.454,4.103,10.142,5
-0.705,3.96,10.506,5
-0.885,3.766,10.893,5
-1.009,3.565,11.277,5
-1.064,3.361,11.418,5
-1.033,3.172,11.482,5
-0.985,3.036,11.444,5
-0.868,2.911,11.411,6
-0.689,2.878,11.315,5
-0.559,2.899,11.063,5
-0.404,2.976,10.697,5
-0.203,3.146,10.393,5
-0.083,3.344,10.079,5
0.055,3.491,9.795,5
0.115,3.629,9.531,5
0.098,3.699,9.344,5
0.065,3.704,9.115,5
0.043,3.742,8.889,5
0.01,3.766,8.739,5
-0.037,3.795,8.636,5
-0.059,3.864,8.547,5
-0.066,3.917,8.454,5
-0.066,4.008,8.377,5
-0.088,4.024,8.375,5
-0.136,4.046,8.37,5
-0.157,4.077,8.473,5
-0.224,4.12,8.636,5
-0.231,4.091,8.691,5
-0.224,4.115,8.688,5
-0.198,4.051,8.7,5
-0.174,4.027,8.633,5
-0.157,3.979,8.557,5
-0.15,3.929,8.485,6
-0.152,3.893,8.389,5
-0.164,3.819,8.296,5
-0.15,3.701,8.291,5
-0.155,3.629,8.308,5
-0.131,3.51,8.353,5
-0.095,3.419,8.454,5
-0.033,3.316,8.547,5
0.048,3.237,8.605,5
0.206,3.16,8.664,5
0.366,3.033,8.715,5
0.508,2.94,8.72,5
0.591,2.849,8.729,5
0.735,2.811,8.801,5
0.886,2.791,8.947,5
0.982,2.801,9.091,5
1.025,2.849,9.222,5
1.027,2.93,9.452,5
1.001,3.016,9.632,5
0.895,3.124,9.852,5
0.895,3.285,9.993,5
0.852,3.419,10.015,5
0.941,3.488,9.878,5
1.061,3.529,9.617,5
1.183,3.553,9.119,5
1.269,3.622,8.49,6
1.314,3.694,7.872,5
1.355,3.775,7.228,5
1.345,3.895,6.742,5
1.252,4.024,6.491,5
1.111,4.17,6.378,5
0.982,4.343,6.335,5
0.874,4.522,6.368,5
0.764,4.671,6.538,5
0.661,4.745,6.797,5
0.541,4.791,7.087,5
0.414,4.75,7.317,5
0.385,4.68,7.518,5
0.409,4.496,7.673,5
0.373,4.372,7.905,5
0.402,4.319,8.114,5
0.44,4.249,8.279,5
0.508,4.206,8.494,5
0.596,4.19,8.748,5
0.716,4.139,8.921,5
0.797,4.082,9.057,5
0.812,4.017,9.186,5
0.737,4.008,9.165,5
0.706,4.015,9.127,5
0.752,3.989,9.016,5
0.773,4.015,8.803,6
0.807,4.06,8.547,5
0.826,4.082,8.219,5
0.843,4.024,7.953,5
0.946,4.032,7.817,5
1.053,4.034,7.805,5
1.176,4.044,7.764,5
1.235,3.998,7.743,5
1.322,3.943,7.824,5
1.391,3.945,7.925,5
1.456,3.883,8.169,5
1.482,3.862,8.471,5
1.482,3.804,8.801,5
1.501,3.766,9.165,5
1.496,3.704,9.519,5
1.427,3.608,10.087,5
1.322,3.598,10.791,5
1.252,3.768,11.473,5
1.243,3.969,11.897,5
1.195,4.228,12.055,5
1.173,4.472,12.055,5
1.144,4.601,11.892,5
1.053,4.601,11.779,5
0.848,4.582,11.408,5
0.488,4.716,10.953,5
0.208,4.848,10.494,6
-0.076,4.862,9.919,5
-0.272,4.709,9.421,5
-0.507,4.621,8.796,5
-0.763,4.68,8.332,5
-0.885,4.709,8.279,5
-0.863,4.597,8.523,5
-0.748,4.503,8.794,5
-0.533,4.367,9.105,5
-0.294,4.257,9.534,5
-0.107,4.154,9.871,5
-0.006,4.008,10.228,5
0.062,3.821,10.635,5
0.17,3.61,11.028,5
0.345,3.344,11.279,5
0.524,3.127,11.387,5
0.661,2.902,11.425,5
0.855,2.703,11.356,5
1.123,2.521,11.193,5
1.367,2.384,10.975,5
1.609,2.38,10.644,5
1.882,2.471,10.276,5
2.121,2.648,9.835,5
2.286,2.88,9.275,5
2.318,3.112,8.743,6
2.179,3.361,8.298,5
2.076,3.574,7.896,5
1.911,3.862,7.508,5
1.69,4.132,7.221,5
1.515,4.446,7.032,5
1.31,4.743,6.938,5
1.087,4.934,6.828,5
0.85,5.059,6.684,5
0.627,5.14,6.713,5
0.345,5.138,6.984,5
0.079,5.104,7.283,5
-0.121,5.09,7.47,5
-0.329,5.049,7.592,5
-0.55,4.98,7.671,5
-0.715,4.853,7.774,5
-0.77,4.704,7.915,5
-0.804,4.455,8.14,5
-0.866,4.242,8.468,5
-0.815,3.986,8.878,5
-0.756,3.797,9.299,5
-0.619,3.649,9.804,5
-0.487,3.471,10.257,5
-0.289,3.311,10.616,5
-0.164,3.182,10.879,6
-0.068,3.002,11.023,5
0.048,2.89,11.013,5
0.17,2.806,10.812,5
0.333,2.724,10.486,5
0.44,2.693,10.089,5
0.517,2.703,9.589,5
0.515,2.827,9.11,5
0.491,2.933,8.688,5
0.452,3.105,8.291,5
0.352,3.349,7.984,5
0.273,3.517,7.731,5
0.17,3.704,7.467,5
0.134,3.857,7.24,5
0.079,3.945,7.075,5
0.079,4.063,6.893,5
0.187,4.099,6.778,5
0.28,4.125,6.56,5
0.357,4.151,6.388,5
0.503,4.099,6.356,5
0.646,4.032,6.347,5
0.78,3.986,6.395,5
0.927,3.912,6.529,5
1.001,3.845,6.696,5
1.053,3.809,6.814,5
1.022,3.74,6.972,6
0.936,3.747,7.178,5
0.912,3.701,7.386,5
0.824,3.689,7.587,5
0.701,3.713,7.731,5
0.594,3.672,7.85,5
0.472,3.605,7.886,5
0.397,3.526,7.961,5
0.376,3.481,8.097,5
0.35,3.512,8.214,5
0.191,3.548,8.365,5
-0.009,3.634,8.509,5
-0.243,3.771,8.746,5
-0.432,3.926,8.966,5
-0.562,4.103,9.127,5
-0.612,4.259,9.249,5
-0.684,4.333,9.249,5
-0.801,4.46,8.921,5
-0.808,4.652,8.576,5
-0.811,4.755,8.241,5
-0.729,4.757,7.889,5
-0.641,4.733,7.664,5
-0.492,4.712,7.496,5
-0.389,4.659,7.336,5
-0.332,4.642,7.257,5
-0.267,4.575,7.328,5
-0.179,4.546,7.419,6
-0.076,4.482,7.601,5
-0.021,4.415,7.831,5
-0.021,4.343,8.085,5
0,4.192,8.37,5
-0.037,4.144,8.712,5
-0.186,4.096,9.141,5
-0.203,4.065,9.589,5
-0.066,4.015,9.948,5
0.139,3.943,10.211,5
0.347,3.933,10.302,5
0.62,3.943,10.314,5
0.967,4.123,10.314,5
1.357,4.47,10.13,5
1.525,4.803,9.747,5
1.448,4.905,9.426,5
1.302,4.838,9.045,5
1.077,4.848,8.573,5
0.836,4.783,8.298,5
0.529,4.688,8.085,5
0.29,4.57,7.795,5
0.086,4.53,7.611,5
-0.047,4.53,7.57,5
-0.104,4.594,7.664,5
-0.054,4.649,7.884,5
-0.033,4.656,8.138,6
-0.068,4.546,8.389,5
-0.174,4.259,8.664,5
-0.315,3.898,8.985,5
-0.502,3.493,9.325,5
-0.693,3.045,9.634,5
-0.863,2.7,9.988,5
-0.952,2.439,10.288,5
-0.947,2.308,10.635,5
-0.916,2.179,11.03,5
-0.906,2.073,11.435,5
-0.89,1.879,11.76,5
-0.926,1.771,12.04,5
-1.026,1.671,12.174,5
-1.146,1.527,12.493,5
-1.172,1.439,12.601,5
-1.16,1.41,12.586,5
-1.141,1.463,12.498,5
-1.141,1.587,12.289,5
-1.16,1.824,11.94,5
-1.127,2.047,11.499,5
-1.093,2.25,10.889,5
-1.06,2.38,10.285,5
-1.096,2.521,9.83,5
-1.151,2.607,9.546,6
-1.227,2.705,9.299,5
-1.28,2.787,9.131,5
-1.306,2.904,8.935,5
-1.34,3.117,8.641,5
-1.409,3.273,8.406,5
-1.495,3.414,8.19,5
-1.584,3.541,8.109,5
-1.711,3.593,8.159,5
-1.9,3.61,8.236,5
-2.082,3.577,8.363,5
-2.288,3.577,8.518,5
-2.41,3.55,8.712,5
-2.446,3.495,8.911,5
-2.472,3.39,9.182,5
-2.439,3.301,9.569,5
-2.326,3.182,9.854,5
-2.183,3.026,10.063,5
-2.013,2.832,10.213,5
-1.749,2.703,10.417,5
-1.481,2.557,10.462,5
-1.222,2.492,10.434,5
-0.957,2.449,10.35,5
-0.681,2.425,10.218,5
-0.483,2.437,10.024,5
-0.361,2.468,9.713,6
-0.248,2.557,9.392,5
-0.167,2.641,9.162,5
-0.164,2.775,8.863,5
-0.136,2.945,8.648,5
-0.147,3.091,8.415,5
-0.114,3.21,8.15,5
-0.097,3.354,7.86,5
-0.136,3.471,7.645,5
-0.124,3.605,7.446,5
-0.092,3.694,7.29,5
0.012,3.735,7.17,5
0.103,3.737,7.077,5
0.184,3.756,7.012,5
0.227,3.797,6.907,5
0.184,3.864,6.862,5
0.194,3.886,6.957,5
0.182,3.924,7.099,5
0.16,3.948,7.336,5
0.175,3.986,7.561,5
0.16,4.048,7.762,5
0.129,4.053,7.996,5
0.115,4.003,8.162,5
0.122,3.967,8.193,5
0.168,3.895,8.267,6
0.189,3.816,8.418,5
0.235,3.677,8.595,5
0.292,3.605,8.827,5
0.381,3.543,8.983,5
0.438,3.459,9.158,5
0.476,3.438,9.213,5
0.548,3.371,9.227,5
0.596,3.342,9.313,5
0.632,3.349,9.368,5
0.663,3.364,9.421,5
0.733,3.38,9.478,5
0.807,3.395,9.658,5
0.905,3.433,9.816,5
0.996,3.459,9.919,5
1.068,3.459,10.012,5
1.123,3.502,10.089,5
1.278,3.493,10.082,5
1.401,3.495,9.996,5
1.544,3.476,9.933,5
1.683,3.479,9.828,5
1.786,3.495,9.704,5
1.863,3.514,9.569,5
1.913,3.562,9.361,5
1.882,3.653,9.117,5
1.796,3.747,9.024,6
1.776,3.833,8.973,5
1.697,3.852,9.012,5
1.58,3.874,9.05,5
1.386,3.874,9.141,5
1.097,3.933,9.392,5
0.828,4.008,9.732,5
0.603,4.096,10.022,5
0.452,4.118,10.178,5
0.378,4.187,10.197,5
0.388,4.216,10.259,5
0.479,4.321,10.34,5
0.713,4.57,10.259,5
0.953,4.922,10.022,5
1.08,5.2,9.598,5
1.116,5.298,9.146,5
1.037,5.202,8.801,5
0.881,4.982,8.54,5
0.627,4.68,8.418,5
0.359,4.441,8.482,5
0.132,4.29,8.722,5
-0.033,4.194,9.143,5
-0.112,4.175,9.677,5
-0.215,4.147,10.185,5
-0.296,4.02,10.549,5
-0.329,3.807,10.822,5
-0.296,3.522,11.176,6
-0.229,3.177,11.561,5
-0.114,2.914,11.899,5
-0.054,2.645,12.347,5
0.022,2.394,12.603,5
0.103,2.241,12.713,5
0.227,2.111,12.78,5
0.342,2.049,12.66,5
0.522,2.068,12.44,5
0.682,2.035,12.119,5
0.864,2.08,11.667,5
1.017,2.159,11.109,5
1.135,2.274,10.474,5
1.243,2.42,9.783,5
1.274,2.607,9.095,5
1.195,2.835,8.609,5
1.07,3.119,8.272,5
0.984,3.431,7.963,5
0.919,3.742,7.733,5
0.874,4.003,7.491,5
0.809,4.259,7.261,5
0.694,4.532,7.053,5
0.563,4.8,7.039,5
0.436,4.992,7.079,5
0.323,5.087,7.362,6
0.309,5.044,7.702,5
0.285,4.963,7.958,5
0.237,4.8,8.19,5
0.153,4.597,8.336,5
0.086,4.331,8.451,5
0.033,4.077,8.619,5
0.005,3.771,8.971,5
0.096,3.491,9.277,5
0.239,3.323,9.677,5
0.397,3.153,10.139,5
0.572,2.99,10.561,5
0.745,2.88,10.992,5
0.831,2.82,11.382,5
0.965,2.751,11.703,5
1.085,2.712,11.863,5
1.159,2.636,11.885,5
1.331,2.607,11.688,5
1.465,2.53,11.423,5
1.53,2.456,10.929,5
1.585,2.399,10.292,5
1.647,2.392,9.739,5
1.633,2.435,9.107,5
1.59,2.499,8.533,5
1.544,2.602,8.133,5
1.453,2.775,7.87,6
1.372,2.887,7.609,5
1.262,3.031,7.376,5
1.159,3.194,7.13,5
1.041,3.316,6.89,5
0.898,3.462,6.649,5
0.783,3.558,6.385,5
0.733,3.615,6.201,5
0.764,3.682,6.225,5
0.836,3.706,6.316,5
0.879,3.754,6.366,5
0.886,3.816,6.464,5
0.864,3.859,6.61,5
0.859,3.862,6.811,5
0.871,3.835,6.945,5
0.934,3.845,7.144,5
0.917,3.792,7.338,5
0.9,3.742,7.52,5
0.917,3.696,7.733,5
0.898,3.72,7.908,5
0.874,3.754,8.044,5
0.941,3.747,8.097,5
0.996,3.816,8.04,5
1.049,3.917,7.903,5
1.051,3.986,7.692,5
1.017,4.027,7.482,6
1.051,4.096,7.4,5
1.085,4.118,7.465,5
1.063,4.187,7.558,5
1.037,4.226,7.659,5
0.977,4.264,7.704,5
0.927,4.29,7.791,5
0.915,4.357,7.903,5
0.864,4.384,7.944,5
0.807,4.396,8.013,5
0.723,4.434,8.114,5
0.685,4.446,8.296,5
0.594,4.482,8.391,5
0.519,4.496,8.406,5
0.512,4.458,8.523,5
0.508,4.427,8.612,5
0.51,4.412,8.751,5
0.531,4.333,8.887,5
0.541,4.309,8.961,5
0.589,4.264,9.002,5
0.668,4.214,9.004,5
0.654,4.209,9.021,5
0.678,4.206,8.992,5
0.759,4.197,8.916,5
0.85,4.151,8.856,6
0.927,4.048,8.949,5
1.01,3.991,9.189,5
1.101,3.871,9.354,5
1.19,3.763,9.584,5
1.231,3.668,9.725,5
1.317,3.598,9.797,5
1.405,3.522,9.897,5
1.492,3.416,10.003,5
1.566,3.38,10.094,5
1.563,3.385,10.17,5
1.537,3.349,10.269,5
1.53,3.344,10.324,5
1.585,3.462,10.451,5
1.638,3.649,10.632,5
1.724,3.876,10.668,5
1.879,4.147,10.654,5
1.915,4.455,10.585,5
1.815,4.659,10.352,5
1.652,4.788,10.075,5
1.535,4.788,9.751,5
1.396,4.786,9.399,5
1.207,4.767,9.04,5
0.986,4.716,8.727,5
0.752,4.623,8.406,6
0.512,4.532,8.217,5
0.263,4.396,8.123,5
-0.023,4.24,8.181,5
-0.25,4.082,8.375,5
-0.432,3.926,8.748,5
-0.672,3.742,9.368,5
-0.837,3.502,10.041,5
-0.851,3.208,10.676,5
-0.818,2.983,11.214,5
-0.684,2.767,11.573,5
-0.48,2.571,11.707,5
-0.339,2.444,11.743,5
-0.14,2.427,11.825,5
0.065,2.485,11.784,5
0.256,2.502,11.715,5
0.369,2.552,11.466,5
0.393,2.581,10.968,5
0.405,2.578,10.417,5
0.433,2.633,9.893,5
0.419,2.641,9.469,5
0.462,2.736,9.115,5
0.531,2.856,8.892,5
0.553,2.863,8.806,5
0.63,2.928,8.693,6
0.682,2.976,8.597,5
0.701,2.995,8.533,5
0.754,3.002,8.53,5
0.819,3.007,8.605,5
0.85,2.959,8.667,5
0.876,2.918,8.739,5
0.931,2.909,8.808,5
0.845,2.918,8.916,5
0.778,2.902,9.04,5
0.773,2.899,9.086,5
0.73,2.882,9.074,5
0.694,2.842,9.059,5
0.649,2.851,9.009,5
0.56,2.887,8.923,5
0.534,2.925,8.822,5
0.563,2.914,8.712,5
0.587,2.942,8.655,5
0.603,2.964,8.542,5
0.613,3.036,8.437,5
0.666,3.072,8.296,5
0.761,3.103,8.2,5
0.869,3.153,8.073,5
0.955,3.244,7.97,5
1.046,3.289,7.834,5
1.123,3.366,7.688,5
1.235,3.443,7.532,6
1.36,3.548,7.422,5
1.408,3.632,7.331,5
1.463,3.744,7.187,5
1.53,3.847,7.034,5
1.609,3.905,6.893,5
1.673,3.957,6.893,5
1.702,3.986,6.857,5
1.702,4.008,6.874,5
1.693,4.084,7.022,5
1.642,4.199,7.108,5
1.592,4.3,7.259,5
1.535,4.393,7.41,5
1.511,4.446,7.506,5
1.472,4.453,7.551,5
1.456,4.498,7.637,5
1.448,4.484,7.64,5
1.441,4.479,7.611,5
1.434,4.51,7.654,5
1.413,4.566,7.625,5
1.362,4.57,7.7,5
1.197,4.601,7.695,5
1.087,4.726,7.566,5
1.032,4.867,7.688,5
0.876,4.927,7.882,5
0.766,4.996,7.953,6
